,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Show,Public Average Rating (IMDb),Number Public Votes (IMDb),IMBd title (check for validity),First Air Date,Metascore Pro Rating,Number of Professional Reviewers,Metascore Name (check for validity)
213,670454566,True,golden,91,,"Chicago, Il",1.0,26-Jul-22,0.9596,White,1.0,Na,1.0,Straight,1.0,1977,1.0,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,,,All the President's Men,Jason Robards,,,,1977.0,All the President's Men,8.0,109K,All the President's Men,1976,None,None,Couldnt pull name
214,670454567,False,finalized,3,2/10/2015 1:53,"Chicago, Il",1.0,26-Jul-22,1.0,White,1.0,Na,1.0,Straight,1.0,1978,1.0,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,,,Julia,Jason Robards,,,,,Julia,Not in IMDb,Not in IMDb," Julia Roberts
(I)
",Not Found,62,14,Julia
215,670454568,False,finalized,3,2/10/2015 1:46,"Astoria, Ny",1.0,31-Mar-43,1.0,White,1.0,Na,1.0,Straight,1.0,1979,1.0,Best Supporting Actor,http://www.nndb.com/people/618/000022552/,,,The Deer Hunter,Christopher Walken,,,,,The Deer Hunter,8.1,325K,The Deer Hunter,1978,86,18,The Deer Hunter
216,670454569,False,finalized,3,2/10/2015 2:09,"Macon, Ga",1.0,5-Apr-01,1.0,White,1.0,Jewish,1.0,Straight,1.0,1980,1.0,Best Supporting Actor,http://www.nndb.com/people/100/000063908/,,,Being There,Melvyn Douglas,,,,,Being There,8.0,70K,Being There,1979,83,16,Being There
217,670454570,False,finalized,3,2/10/2015 2:18,"Malibu, Ca",1.0,16-Aug-60,1.0,White,1.0,Na,1.0,Straight,1.0,1981,1.0,Best Supporting Actor,http://www.nndb.com/people/378/000024306/,,,Oridnary People,Timothy Hutton,,,,,Oridnary People,7.7,51,Sex Stories of Ordinary People,2004– ,None,None,Couldnt pull name
218,670454571,False,finalized,3,2/10/2015 2:07,"London, England",0.6667,14-Apr-04,1.0,White,1.0,Na,1.0,Gay,1.0,1982,1.0,Best Supporting Actor,http://www.nndb.com/people/589/000033490/,,,Arthur,John Gielgud,,,,,Arthur,6.7,203K,King Arthur: Legend of the Sword,2017,36,37,Arthur
219,670454572,False,finalized,3,2/10/2015 3:50,"Brooklyn, Ny",1.0,27-May-36,1.0,Black,1.0,Na,1.0,Straight,1.0,1983,1.0,Best Supporting Actor,http://www.nndb.com/people/906/000023837/,,,An Officer and a Gentleman,"Lou Gossett, Jr.",,,,,An Officer and a Gentleman,7.0,54K,An Officer and a Gentleman,1982,75,8,An Officer and a Gentleman
220,670454573,False,finalized,3,2/10/2015 2:03,New York City,1.0,22-Apr-37,1.0,White,1.0,Atheist,1.0,Straight,1.0,1984,1.0,Best Supporting Actor,http://www.nndb.com/people/722/000022656/,,,Terms of Endearment,Jack Nicholson,,,,,Terms of Endearment,7.4,58K,Terms of Endearment,1983,79,10,Terms of Endearment
221,670454574,False,finalized,3,2/10/2015 1:51,"Samrong Young, Cambodia",1.0,22-Mar-40,1.0,Asian,1.0,Buddhist,1.0,Straight,1.0,1985,1.0,Best Supporting Actor,http://www.nndb.com/people/093/000063901/,,,The Killing Fields,Haing S. Ngor,,,,,The Killing Fields,7.8,54K,The Killing Fields,1984,76,18,The Killing Fields
222,670454575,False,finalized,3,2/10/2015 2:04,"Kenosha, Wi",1.0,31-May-04,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1986,1.0,Best Supporting Actor,http://www.nndb.com/people/736/000024664/,,,Cocoon,Don Ameche,,,,,Cocoon,6.7,60K,Cocoon,1985,65,17,Cocoon
223,670454576,False,finalized,3,2/10/2015 1:55,"Bermondsey, England",1.0,14-Mar-33,1.0,White,1.0,Na,1.0,Straight,1.0,1987,1.0,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,,,Hannah and Her Sisters,Michael Caine,,,,,Hannah and Her Sisters,7.9,69K,Hannah and Her Sisters,1986,90,12,Hannah and Her Sisters
224,670454577,False,finalized,3,2/10/2015 3:50,"Edinburgh, Scotland",1.0,25-Aug-30,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1988,1.0,Best Supporting Actor,http://www.nndb.com/people/881/000022815/,,,The Untouchables,Sean Connery,,,,,The Untouchables,7.9,295K,The Untouchables,1987,79,16,The Untouchables
225,670454578,False,finalized,3,2/10/2015 2:18,"St. Louis, Mo",1.0,24-Oct-47,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1989,1.0,Best Supporting Actor,http://www.nndb.com/people/819/000024747/,,,A Fish Called Wanda,Kevin Kline,,,,,A Fish Called Wanda,7.5,137K,A Fish Called Wanda,1988,80,17,A Fish Called Wanda
226,670454579,False,finalized,3,2/10/2015 2:04,"Mount Vernon, Ny",1.0,28-Dec-54,1.0,Black,1.0,Protestant,1.0,Straight,1.0,1990,1.0,Best Supporting Actor,http://www.nndb.com/people/665/000023596/,,,Glory,Denzel Washington,,,,,Glory,7.8,130K,Glory,1989,78,22,Glory
227,670454580,False,finalized,3,2/10/2015 2:09,"Newark, Nj",1.0,9-Feb-43,1.0,White,1.0,Na,1.0,Straight,1.0,1991,1.0,Best Supporting Actor,http://www.nndb.com/people/582/000022516/,,,Good Fellas,Joe Pesci,,,,,Good Fellas,8.7,1.1M,Goodfellas,1990,None,None,Couldnt pull name
228,670454581,False,finalized,3,2/10/2015 1:57,"Lattimer Mines, Pa",1.0,18-Feb-19,1.0,White,1.0,Na,1.0,Straight,1.0,1992,1.0,Best Supporting Actor,http://www.nndb.com/people/579/000022513/,,,City Slickers,Jack Palance,,,,,City Slickers,6.8,53K,City Slickers,1991,70,25,City Slickers
229,670454582,False,finalized,3,2/10/2015 1:47,"San Bernardino, Ca",1.0,30-Jan-30,1.0,White,1.0,Na,1.0,Straight,1.0,1993,1.0,Best Supporting Actor,http://www.nndb.com/people/878/000022812/,,,Unforgiven,Gene Hackman,,,,,Unforgiven,8.2,392K,Unforgiven,1992,85,33,Unforgiven
230,670454583,False,finalized,3,2/10/2015 2:04,"San Saba, Tx",1.0,15-Sep-46,1.0,White,1.0,Na,1.0,Straight,1.0,1994,1.0,Best Supporting Actor,http://www.nndb.com/people/530/000022464/,,,The Fugitive,Tommy Lee Jones,,,,,The Fugitive,7.1,6.1K,The Fugitive Kind,1960,87,32,The Fugitive
231,670454584,False,finalized,3,2/10/2015 2:11,"Brooklyn, Ny",1.0,20-Jun-31,1.0,White,1.0,Jewish,1.0,Straight,1.0,1995,1.0,Best Supporting Actor,http://www.nndb.com/people/431/000023362/,,,Ed Wood,Martin Landau,,,,,Ed Wood,7.8,171K,Ed Wood,1994,70,19,Ed Wood
232,670454585,False,finalized,3,2/10/2015 2:11,"South Orange, Nj",1.0,26-Jul-59,1.0,White,1.0,Na,1.0,Matter of Dispute,1.0,1996,1.0,Best Supporting Actor,http://www.nndb.com/people/591/000023522/,,,The Usual Suspects,Kevin Spacey,,,,,The Usual Suspects,8.5,1M,The Usual Suspects,1995,77,22,The Usual Suspects
233,670454586,False,finalized,3,2/10/2015 4:21,"Bronx, Ny",1.0,2-Jan-68,1.0,Black,1.0,Na,1.0,Straight,1.0,1997,1.0,Best Supporting Actor,http://www.nndb.com/people/587/000023518/,,,Jerry Maguire,"Cuba Gooding, Jr.",,,,,Jerry Maguire,7.3,253K,Jerry Maguire,1996,77,28,Jerry Maguire
234,670454587,False,finalized,3,2/10/2015 4:08,"Chicago, Il",1.0,21-Jul-51,1.0,White,1.0,Anglican/episcopalian,1.0,Straight,1.0,1998,1.0,Best Supporting Actor,http://www.nndb.com/people/606/000022540/,,,Good Will Hunting,Robin Williams,,,,,Good Will Hunting,8.3,901K,Good Will Hunting,1997,70,28,Good Will Hunting
235,670454588,True,golden,62,,"Laurel, Ne",1.0,31-Aug-28,1.0,White,1.0,Na,1.0,Straight,1.0,1999,1.0,Best Supporting Actor,http://www.nndb.com/people/764/000022698/,,,Affliction,James Coburn,,Na,,,Affliction,6.9,16K,Affliction,1997,79,35,Affliction
236,670454589,False,finalized,3,2/10/2015 2:12,"Bermondsey, England",1.0,14-Mar-33,1.0,White,1.0,Na,1.0,Straight,1.0,2000,1.0,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,,,The Cider House Rules,Michael Caine,,,,,The Cider House Rules,7.4,96K,The Cider House Rules,1999,75,32,The Cider House Rules
237,670454590,False,finalized,3,2/10/2015 2:04,"Santurce, Puerto Rico",1.0,19-Feb-67,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,2001,1.0,Best Supporting Actor,http://www.nndb.com/people/087/000026009/,,,Traffic,Benicio Del Toro,,,,,Traffic,7.6,202K,Traffic,2000,86,34,Traffic
238,670454591,False,finalized,3,2/10/2015 2:05,"Lincoln, Lincolnshire, England",1.0,24-May-49,1.0,White,1.0,Na,1.0,Straight,1.0,2002,1.0,Best Supporting Actor,http://www.nndb.com/people/092/000063900/,,,Iris,Jim Broadbent,,,,,Iris,Not in IMDb,Not in IMDb," Iris Apatow
",Not Found,76,30,Iris
239,670454592,False,finalized,3,2/10/2015 2:15,"Kansas City, Mo",1.0,9-Jul-51,1.0,White,1.0,Na,1.0,Straight,1.0,2003,1.0,Best Supporting Actor,http://www.nndb.com/people/130/000025055/,,,Adaptation,Chris Cooper,,,,,Adaptation,7.7,186K,Adaptation.,2002,83,40,Adaptation.
240,670454593,False,finalized,3,2/10/2015 2:14,"West Covina, Ca",1.0,16-Oct-58,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,2004,1.0,Best Supporting Actor,http://www.nndb.com/people/614/000025539/,,,Mystic River,Tim Robbins,,,,,Mystic River,7.9,437K,Mystic River,2003,84,42,Mystic River
241,670454594,False,finalized,3,2/10/2015 3:55,"Memphis, Tn",1.0,1-Jun-37,1.0,Black,1.0,Na,1.0,Straight,1.0,2005,1.0,Best Supporting Actor,http://www.nndb.com/people/982/000023913/,,,Million Dollar Baby,Morgan Freeman,,,,,Million Dollar Baby,8.1,658K,Million Dollar Baby,2004,86,39,Million Dollar Baby
242,670454595,False,finalized,3,2/10/2015 4:02,"Lexington, Ky",1.0,6-May-61,1.0,White,1.0,Na,1.0,Straight,1.0,2006,1.0,Best Supporting Actor,http://www.nndb.com/people/763/000022697/,,,Syriana,George Clooney,,,,,Syriana,6.9,128K,Syriana,2005,76,40,Syriana
243,670454596,False,finalized,3,2/10/2015 2:15,"Brooklyn, Ny",1.0,26-Mar-34,1.0,White,1.0,Jewish,1.0,Straight,1.0,2007,1.0,Best Supporting Actor,http://www.nndb.com/people/777/000022711/,,,Little Miss Sunshine,Alan Arkin,,,,,Little Miss Sunshine,7.8,455K,Little Miss Sunshine,2006,80,36,Little Miss Sunshine
244,670454597,False,finalized,3,2/10/2015 3:50,"Las Palmas De Gran Canaria, Canary Islands",1.0,1-Mar-69,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,2008,1.0,Best Supporting Actor,http://www.nndb.com/people/733/000109406/,,,No Country for Old Men,Javier Bardem,,,,,No Country for Old Men,8.1,901K,No Country for Old Men,2007,91,37,No Country for Old Men
